ZIP,num_arrests,zip_area,arrest_density,POPULATION,crime_rate_per_1000,avg_rank,avg_price,adjusted_price,lower_ci,upper_ci
15201,1017,12786939.752413526,7.953427635475032e-05,13275,76.61016949152543,94.0,465785.73825708,465785.73825708,392181.507706242,545716.070031115
15202,32,23624341.711320616,1.3545350973595946e-06,19642,1.629161999796355,426.6,337794.806474015,337794.806474015,275633.647794008,406271.25808294
15203,3776,7734287.805875333,0.0004882156049496,10713,352.4689629422197,,446957.132744108,446957.132744108,374860.465040162,525390.935755243
15204,1549,8865625.748115376,0.000174719759666,7809,198.3608656678192,410.5,258017.713276021,258017.713276021,204010.961187996,318359.052765747
15205,725,61824266.81747618,1.1726786864135694e-05,24123,30.054305020105293,179.5,323180.287143713,323180.287143713,262455.382818983,390218.808680417
15206,4555,22320128.426958103,0.0002040758867004,29176,156.1214697011242,317.0,420329.045463823,420329.045463823,350602.677419482,496374.714748587
15207,1793,22224059.00940432,8.06783314983674e-05,10751,166.77518370384152,463.6666666666667,318016.187001635,318016.187001635,257742.098628252,384617.538717146
15208,4567,6661036.38221046,0.0006856290429815,9500,480.7368421052632,627.0,397347.545181775,397347.545181775,329488.092751517,471556.416688275
15209,2,21764624.635253064,9.189223492329465e-08,11769,0.1699379726399864,239.0,337231.759610354,337231.759610354,275082.257223506,405705.729940378
15210,5611,20949228.07374517,0.0002678380310839,25017,224.28748451053283,253.0,260993.925414395,260993.925414395,206740.675092257,321561.402936318
15211,1260,6966054.240657566,0.0001808771445743,10733,117.39495015373149,,389183.494100553,389183.494100553,322153.982808317,462543.296819343
15212,9122,28224367.10856152,0.000323195909581,14751,618.3987526269406,336.3333333333333,322647.854735551,322647.854735551,261972.734189468,389637.220359446
15212,9122,28224367.10856152,0.000323195909581,27600,330.5072463768116,336.3333333333333,322647.854735551,322647.854735551,261972.734189468,389637.220359446
15213,1639,12263461.404967926,0.0001336490527328,29839,54.9281142129428,,463092.372308377,463092.372308377,389695.329152843,542818.234962351
15215,70,26997929.86383984,2.592791386340912e-06,12234,5.7217590322053296,94.0,411731.891251197,411731.891251197,342734.98423749,487051.897034323
15216,1157,15315456.231671566,7.554459903110064e-05,21503,53.80644561224016,185.0,363282.801880877,363282.801880877,298696.626316415,434185.409989856
15217,1243,17769040.50041831,6.995312999431444e-05,26200,47.44274809160305,562.0,518429.951630979,518429.951630979,440657.016244742,602519.942695829
15218,33,11100124.010648925,2.972939758901918e-06,13443,2.454809194376255,575.5,363473.713540835,363473.713540835,298844.411623264,434424.656515304
15219,5057,12293778.296143211,0.0004113462825001,11010,459.30971843778383,,323743.159737905,323743.159737905,262852.228958855,390971.93015154
15220,1124,22099388.504449755,5.086113580806457e-05,18519,60.69442194502943,179.5,317334.494634683,317334.494634683,257163.136954741,383825.419739319
15221,1587,26670392.333171908,5.950418652170079e-05,29513,53.77291363128113,608.0,290823.497080692,290823.497080692,233391.452244151,354566.688559182
15222,3466,5210395.232286956,0.0006652086541386,5649,613.559922110108,181.0,483601.045069143,483601.045069143,407583.738780453,566114.400914854
15223,2,9362105.266890842,2.1362716429530178e-07,6656,0.3004807692307693,94.0,336701.057059025,336701.057059025,274524.829112856,405218.53506081
15224,1269,4454491.630797423,0.0002848809932038,10516,120.6732597945987,,446052.071747837,446052.071747837,374006.313162233,524439.629931381
15226,1478,11419202.286086924,0.0001294311076178,13943,106.0030122642186,138.0,332059.790266947,332059.790266947,270431.943462887,400008.019738162
15227,468,26903794.41208364,1.7395315799387815e-05,29057,16.106273875486114,426.6666666666667,311359.996702585,311359.996702585,251834.604153191,377194.440126213
15228,1,13532492.407669256,7.38962173319433e-08,18187,0.0549843294661021,112.4,433394.014358287,433394.014358287,362539.443122371,510568.65675419
15232,735,3727377.2852903847,0.000197189590359,11370,64.64379947229551,,589001.118537039,589001.118537039,505684.985040748,678667.620300851
15233,861,7516325.118776794,0.0001145506595835,2918,295.0651130911584,677.0,358788.556966251,358788.556966251,293965.386165157,430065.085842997
15234,158,15048745.20741672,1.0499214241605358e-05,14330,11.025819958129796,137.75,340219.780937097,340219.780937097,277807.487074363,408951.013906892
15235,118,63347849.3450782,1.862730956456188e-06,33811,3.4899884652923605,454.25,252897.006322267,252897.006322267,199579.910132392,312518.621888764
15236,9,51914682.73171861,1.7336135995494046e-07,31152,0.2889060092449923,245.14285714285717,330281.435221272,330281.435221272,268886.176051101,397984.319018642
15237,10,107398695.0808342,9.31110009527904e-08,44161,0.2264441475510065,142.0,356607.983288079,356607.983288079,292722.212768433,426794.580109594
15238,278,79702855.9007358,3.4879553167609088e-06,13000,21.384615384615383,286.6666666666667,398034.346359157,398034.346359157,330323.577497984,472053.410519481
15241,34,44524703.91303547,7.636210241040108e-07,21941,1.5496103185816508,137.0,355061.268441594,355061.268441594,291259.955647297,425176.117830813
